               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095863,            0.085278,            0.043866,            0.059499,             0.29392,            0.064015,            0.019354,            0.074707,            0.061323,            0.038828,            0.070588,            0.003268,            0.003268
                   1,            0.072636,            0.076286,            0.037354,             0.43254,             0.35657,             0.21352,            0.077367,            0.067814,            0.054052,            0.035639,            0.040523,            0.006536,            0.006536
                   2,            0.070692,            0.069083,            0.034354,             0.46935,             0.30077,             0.25043,             0.11007,            0.064124,             0.05091,               0.032,            0.010392,           0.0097379,           0.0097379
                   3,            0.067351,            0.070131,            0.030658,             0.39688,             0.37715,             0.22668,            0.095457,             0.06801,            0.050454,            0.027639,            0.009703,            0.009703,            0.009703
                   4,            0.060053,            0.067327,            0.028208,             0.50479,             0.40725,             0.34139,             0.15146,            0.054443,            0.049004,            0.025614,            0.009703,            0.009703,            0.009703
                   5,            0.052165,            0.063931,            0.025339,             0.54917,             0.46358,             0.42658,             0.22082,            0.047927,            0.046926,            0.022169,            0.009604,            0.009604,            0.009604
                   6,            0.048016,            0.063861,            0.022709,             0.38765,             0.60494,              0.5042,             0.25541,            0.047247,            0.041852,            0.020303,            0.009505,            0.009505,            0.009505
                   7,             0.04587,            0.058376,            0.021525,             0.43423,             0.62116,             0.56724,              0.3073,            0.040912,            0.041629,            0.019224,            0.009406,            0.009406,            0.009406
                   8,             0.04298,            0.058372,            0.020138,             0.40972,             0.65712,             0.50844,             0.29817,            0.043724,            0.041992,            0.018244,            0.009307,            0.009307,            0.009307
                   9,            0.041994,            0.058012,            0.018771,             0.49498,             0.69431,             0.61788,             0.39788,            0.038124,            0.038011,            0.015705,            0.009208,            0.009208,            0.009208
                  10,            0.040123,            0.055871,             0.01733,             0.58721,             0.69324,             0.69044,             0.40888,            0.036907,            0.036875,            0.014228,            0.009109,            0.009109,            0.009109
                  11,            0.037991,            0.053865,            0.016368,             0.62319,             0.73294,             0.72001,              0.4609,            0.032864,            0.035106,            0.012678,             0.00901,             0.00901,             0.00901
                  12,             0.03712,            0.052551,            0.014739,             0.58305,             0.70544,             0.71723,             0.45654,            0.036251,            0.036625,            0.011905,            0.008911,            0.008911,            0.008911
                  13,            0.035807,            0.051763,            0.014354,             0.63575,             0.73164,             0.73463,             0.45444,            0.035705,            0.034251,            0.011273,            0.008812,            0.008812,            0.008812
                  14,            0.035578,            0.049739,            0.013942,             0.69468,             0.72745,             0.75608,             0.48002,            0.030852,            0.032314,            0.010023,            0.008713,            0.008713,            0.008713
                  15,             0.03351,            0.046706,            0.012748,             0.65658,             0.77407,             0.76592,             0.51571,            0.030234,            0.031297,           0.0090267,            0.008614,            0.008614,            0.008614
                  16,            0.033251,            0.049996,            0.012168,             0.65987,             0.78176,             0.77055,             0.52986,            0.029903,            0.030842,           0.0078253,            0.008515,            0.008515,            0.008515
                  17,            0.032816,            0.046267,            0.011933,             0.65386,             0.77208,             0.76131,             0.52583,            0.029412,            0.031561,           0.0084283,            0.008416,            0.008416,            0.008416
                  18,            0.031816,            0.045943,            0.010778,             0.67702,             0.79465,             0.78218,             0.55565,             0.02774,            0.029858,           0.0076856,            0.008317,            0.008317,            0.008317
                  19,            0.031499,            0.046068,            0.010815,             0.67941,             0.79227,             0.78305,             0.55215,            0.026531,            0.028197,           0.0068301,            0.008218,            0.008218,            0.008218
                  20,            0.030059,            0.044049,           0.0098833,             0.71134,             0.80794,             0.80865,             0.57999,             0.02666,            0.028312,           0.0063648,            0.008119,            0.008119,            0.008119
                  21,            0.030753,            0.045833,           0.0094253,             0.72931,             0.80407,             0.81304,             0.57149,            0.028471,            0.028369,           0.0058491,             0.00802,             0.00802,             0.00802
                  22,            0.031789,            0.045256,           0.0087217,             0.73735,             0.82559,             0.83142,             0.60865,            0.026846,            0.027121,           0.0055342,            0.007921,            0.007921,            0.007921
                  23,            0.030485,            0.044886,           0.0090689,             0.76869,             0.84548,             0.84708,             0.60339,            0.027242,            0.026835,           0.0052314,            0.007822,            0.007822,            0.007822
                  24,            0.029585,             0.04338,            0.008722,             0.74517,             0.85045,             0.85075,             0.62999,            0.026529,            0.026975,           0.0051502,            0.007723,            0.007723,            0.007723
                  25,            0.028713,            0.042634,           0.0076029,             0.71478,             0.87274,             0.84087,             0.64661,            0.022893,            0.026061,           0.0050547,            0.007624,            0.007624,            0.007624
                  26,            0.028604,            0.041476,           0.0083187,             0.77269,             0.89211,             0.87047,             0.65478,            0.025273,            0.026119,           0.0050006,            0.007525,            0.007525,            0.007525
                  27,            0.028341,            0.041985,           0.0086079,              0.8019,             0.88146,             0.89644,             0.67609,            0.023891,             0.02518,           0.0044557,            0.007426,            0.007426,            0.007426
                  28,            0.028205,            0.041537,           0.0070458,             0.80397,             0.90216,             0.90224,             0.67633,            0.023521,            0.025185,           0.0041767,            0.007327,            0.007327,            0.007327
                  29,            0.026334,            0.041012,           0.0073547,             0.86821,             0.90086,             0.94032,             0.73102,            0.022531,            0.024891,           0.0040658,            0.007228,            0.007228,            0.007228
                  30,            0.026326,            0.039876,           0.0071734,             0.90544,             0.92887,              0.9663,             0.76457,            0.023133,            0.023959,            0.003722,            0.007129,            0.007129,            0.007129
                  31,            0.026753,            0.040707,           0.0062379,             0.89169,             0.93807,             0.95307,             0.74838,            0.023576,             0.02434,           0.0035812,             0.00703,             0.00703,             0.00703
                  32,            0.026242,            0.040368,           0.0066618,             0.91032,             0.94946,             0.96304,             0.75985,            0.022236,            0.024473,           0.0033807,            0.006931,            0.006931,            0.006931
                  33,            0.025772,            0.041363,            0.006188,             0.91636,             0.95611,             0.96837,             0.74387,            0.024027,            0.023683,           0.0032222,            0.006832,            0.006832,            0.006832
                  34,            0.025935,            0.039728,           0.0059086,             0.93164,             0.95704,             0.97494,             0.77018,            0.021791,            0.023144,           0.0030399,            0.006733,            0.006733,            0.006733
                  35,            0.026113,            0.040777,           0.0058357,             0.94395,             0.96654,             0.97719,             0.77694,            0.020969,            0.023239,           0.0029515,            0.006634,            0.006634,            0.006634
                  36,            0.024787,            0.039001,           0.0055308,             0.97529,             0.96911,             0.98891,             0.80629,            0.020253,            0.022546,           0.0026467,            0.006535,            0.006535,            0.006535
                  37,            0.024078,            0.038034,           0.0054329,             0.98349,             0.97687,             0.99129,              0.8106,            0.018223,            0.021337,           0.0025403,            0.006436,            0.006436,            0.006436
                  38,             0.02356,            0.036354,           0.0055703,             0.99074,             0.98408,              0.9921,             0.80492,            0.019662,            0.022251,           0.0023447,            0.006337,            0.006337,            0.006337
                  39,            0.023919,            0.036814,           0.0051746,             0.98996,              0.9879,             0.99252,             0.80439,            0.019956,            0.021979,           0.0020932,            0.006238,            0.006238,            0.006238
                  40,            0.023453,            0.036599,             0.00479,             0.97885,             0.98387,             0.99086,             0.81846,            0.019226,            0.021969,           0.0021755,            0.006139,            0.006139,            0.006139
                  41,            0.023344,            0.036286,           0.0047901,             0.98721,             0.98344,             0.99153,             0.81946,            0.019612,            0.022168,           0.0022417,             0.00604,             0.00604,             0.00604
                  42,            0.023024,            0.036592,           0.0047776,             0.99141,             0.97883,             0.99205,              0.8187,            0.018906,            0.021797,            0.002269,            0.005941,            0.005941,            0.005941
                  43,             0.02391,            0.036305,           0.0046757,             0.98856,             0.98049,             0.99216,             0.84148,            0.017832,            0.021152,           0.0019885,            0.005842,            0.005842,            0.005842
                  44,            0.022735,            0.035389,           0.0048252,             0.98701,             0.98015,             0.99198,             0.83115,            0.016943,            0.020746,           0.0021495,            0.005743,            0.005743,            0.005743
                  45,            0.021013,             0.03465,           0.0042891,             0.99238,             0.98973,              0.9937,             0.83375,            0.017601,            0.020636,           0.0018837,            0.005644,            0.005644,            0.005644
                  46,            0.022616,            0.035472,           0.0043009,               0.987,             0.99042,             0.99376,             0.84651,            0.016693,            0.019757,           0.0017282,            0.005545,            0.005545,            0.005545
                  47,            0.022116,            0.036216,           0.0037111,              0.9895,             0.98982,             0.99435,             0.85356,            0.016557,              0.0199,           0.0016255,            0.005446,            0.005446,            0.005446
                  48,             0.02205,            0.035568,           0.0035597,             0.99197,             0.99177,             0.99401,             0.84565,             0.01734,            0.019767,           0.0017221,            0.005347,            0.005347,            0.005347
                  49,            0.021203,            0.032081,           0.0041346,             0.99517,             0.98672,             0.99351,             0.85779,            0.016643,            0.019613,           0.0018028,            0.005248,            0.005248,            0.005248
                  50,            0.020626,            0.032311,           0.0037312,             0.98655,             0.98753,             0.99405,             0.85704,            0.016827,            0.019938,           0.0017575,            0.005149,            0.005149,            0.005149
                  51,            0.021051,            0.033206,           0.0035931,             0.98865,              0.9917,             0.99423,             0.85544,            0.017267,            0.020028,             0.00157,             0.00505,             0.00505,             0.00505
                  52,            0.020908,             0.03492,           0.0039219,             0.99544,             0.99369,             0.99451,             0.84397,            0.017269,             0.01995,           0.0015435,            0.004951,            0.004951,            0.004951
                  53,            0.020727,            0.033719,           0.0036375,             0.99418,              0.9932,             0.99443,             0.85729,            0.015829,            0.019643,           0.0016115,            0.004852,            0.004852,            0.004852
                  54,            0.020031,            0.033288,           0.0035935,             0.99627,             0.99619,             0.99462,             0.87013,            0.015221,            0.019058,           0.0015749,            0.004753,            0.004753,            0.004753
