               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033676,            0.036958,           0.0088151,             0.69065,             0.77821,             0.79238,             0.57803,            0.024388,            0.019599,           0.0047762,             0.00838,             0.00838,             0.00838
                  38,            0.033144,            0.034636,           0.0085636,             0.73142,             0.82198,             0.80333,             0.59859,            0.024596,            0.019173,           0.0042012,            0.008335,            0.008335,            0.008335
                  39,            0.031867,            0.033066,           0.0080643,             0.72129,             0.81499,             0.81102,             0.61366,            0.022824,            0.018706,           0.0043732,             0.00829,             0.00829,             0.00829
                  40,            0.031467,            0.033128,            0.008134,              0.7269,             0.80165,             0.81186,             0.60098,            0.024228,            0.019274,           0.0042891,            0.008245,            0.008245,            0.008245
                  41,            0.032261,            0.034748,           0.0080608,              0.7326,             0.80516,             0.80937,             0.60973,            0.024466,            0.018847,           0.0042147,              0.0082,              0.0082,              0.0082
                  42,            0.031153,            0.034757,           0.0076542,             0.76334,             0.83619,             0.82598,             0.62945,            0.022209,            0.017852,           0.0038155,            0.008155,            0.008155,            0.008155
                  43,            0.031882,            0.034244,           0.0077414,             0.75895,             0.83062,             0.83705,             0.64487,            0.021979,            0.017792,           0.0039411,             0.00811,             0.00811,             0.00811
                  44,            0.031886,            0.034868,           0.0080905,             0.71028,             0.83133,             0.81179,             0.62833,            0.022026,            0.019005,             0.00432,            0.008065,            0.008065,            0.008065
                  45,            0.031405,            0.034873,           0.0073993,             0.77394,             0.85411,             0.84521,             0.66388,            0.020794,            0.017683,           0.0034113,             0.00802,             0.00802,             0.00802
                  46,            0.030574,            0.033938,           0.0077009,             0.77307,             0.84032,             0.85304,             0.64999,             0.02324,            0.017695,           0.0037298,            0.007975,            0.007975,            0.007975
